City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Kloulklubed,PW,7.0419,134.2556,79.3,76,100,14.85,overcast clouds
216,Kargopol,RU,61.5071,38.9456,37.13,87,99,5.19,overcast clouds
217,Kungurtug,RU,50.5994,97.5228,60.84,50,9,1.88,clear sky
218,Indi,IN,17.1667,75.9667,83.14,57,100,12.86,overcast clouds
219,Ternate,ID,0.8,127.4,84.97,69,16,2.01,few clouds
220,Inuvik,CA,68.3499,-133.7218,32.81,98,100,12.19,overcast clouds
221,Russkaya Polyana,UA,49.417,31.9201,43.07,68,100,8.05,overcast clouds
222,Iqaluit,CA,63.7506,-68.5145,18.32,78,74,6.24,broken clouds
223,Buraydah,SA,26.326,43.975,79.16,18,0,3.91,clear sky
224,Diffa,NE,13.3154,12.6113,83.03,48,98,8.37,overcast clouds
225,Talas,TR,38.6908,35.5538,39.87,100,0,3.44,clear sky
226,Chumikan,RU,54.7183,135.315,35.02,90,93,6.11,overcast clouds
227,Trinidad,BO,-14.8333,-64.9,60.91,61,75,5.17,broken clouds
228,Antofagasta,CL,-23.65,-70.4,54.68,67,81,6.55,broken clouds
229,Nikolskoye,RU,59.7035,30.7861,40.91,86,100,4.27,overcast clouds
230,Rawson,AR,-43.3002,-65.1023,50.38,58,24,20.38,few clouds
231,Pevek,RU,69.7008,170.3133,33.04,99,100,3.29,light snow
232,Tilichiki,RU,60.4667,166.1,33.19,100,100,3.6,overcast clouds
233,Kalabo,ZM,-14.97,22.6814,59.56,71,65,5.66,broken clouds
234,Leh,IN,34.1667,77.5833,46.04,51,74,5.26,broken clouds
235,Lima,PE,-12.0432,-77.0282,61.39,23,100,8.05,mist
236,Kutum,SD,14.2,24.6667,75.63,21,85,8.59,overcast clouds
237,Chimore,BO,-16.9833,-65.1333,63.61,76,96,1.59,overcast clouds
238,Zavodouspenskoye,RU,56.8626,65.0155,52.02,75,58,5.12,broken clouds
239,Grand Gaube,MU,-20.0064,57.6608,69.39,71,0,4.0,clear sky
240,Umm Kaddadah,SD,13.6017,26.6876,79.95,18,68,13.15,broken clouds
241,Palmas Bellas,PA,9.2319,-80.0867,79.25,86,100,2.98,overcast clouds
242,Launceston,AU,-41.45,147.1667,55.8,62,83,17.27,broken clouds
243,Moerai,PF,-22.4333,-151.3333,77.25,76,87,9.35,overcast clouds
244,Omsukchan,RU,62.5333,155.8,34.66,85,95,6.89,overcast clouds
245,Soweto,ZA,-26.2678,27.8585,48.24,93,6,1.14,clear sky
246,Jiayuguan,CN,39.8167,98.3,70.47,15,11,14.23,few clouds
247,Vrangel,RU,42.7297,133.0839,55.0,78,36,5.7,scattered clouds
248,Nouadhibou,MR,20.931,-17.0347,67.3,78,99,20.22,overcast clouds
249,Axim,GH,4.8699,-2.2405,79.5,87,100,9.22,overcast clouds
250,Manokwari,ID,-0.8667,134.0833,85.06,68,30,7.23,scattered clouds
251,Viedma,AR,-40.8135,-62.9967,43.99,83,1,7.31,clear sky
252,Erdenet,MN,49.0333,104.0833,58.91,48,9,5.84,clear sky
253,Antalaha,MG,-14.9003,50.2788,72.95,90,90,11.16,moderate rain
254,Kunda,IN,25.7167,81.5167,97.59,9,2,3.27,clear sky
255,Mandalgovi,MN,45.7625,106.2708,66.11,17,44,12.66,scattered clouds
256,Margate,GB,51.3813,1.3862,60.31,82,25,4.0,scattered clouds
257,Sorland,NO,67.667,12.6934,42.67,89,91,13.56,overcast clouds
258,Port-Gentil,GA,-0.7193,8.7815,79.34,85,90,9.33,light rain
259,Port Lincoln,AU,-34.7333,135.8667,61.43,58,24,8.81,few clouds
260,Manta,EC,-0.95,-80.7333,74.97,83,100,8.01,overcast clouds
261,Touros,BR,-5.1989,-35.4608,78.78,79,69,10.63,broken clouds
262,Abha,SA,18.2164,42.5053,62.85,15,0,0.0,clear sky
